Country,Latitude,Longitude
AUSTRALIA,-34.8,150.6
AUSTRALIA,-34.6,150.6
,-34.053158,150.67606
,-34.63778,150.23857
,-34.65971,150.2175
,-34.170185,150.60796
,-34.434822,150.83965
AUSTRALIA,-34.4,150.5
,-34.203552,150.78859
,-34.372326,150.92136
,-34.094196,150.73424
,-34.449688,150.44203
,-34.476486,150.43033
AUSTRALIA,-34.1,150.7
,-34.65939,150.21738
,-34.65052,150.7708
,-34.248028,150.9709
,-34.564796,150.78238
,-34.44626,150.87471
AUSTRALIA,-34.4555,150.53
,-34.458466,150.43088
,-34.57218,150.85411
,-34.19375,150.70744
,-34.273746,150.95749
,-34.049816,150.67804
,-34.18975,150.98753
,-34.695568,150.1598
AUSTRALIA,-34.4,150.5
,-34.696312,150.1581
,-34.6585,150.21797
,-34.094242,150.73761
,-34.451862,150.87474
,-34.071217,150.69794
AUSTRALIA,-34.1,150.5
,-34.040478,150.67737
,-34.85272,150.60031
,-34.37613,150.87296
,-34.374336,150.87512
,-34.3041,150.93037
,-34.890125,150.58517
,-34.016228,150.87738
,-34.659054,150.2176
,-34.458237,150.42
,-34.056374,150.7144
,-34.569805,150.31519
,-34.049442,150.70235
,-34.659634,150.21733
,-34.187428,150.58333
,-34.48805,150.40552
,-34.37291,150.92238
AUSTRALIA,-34.5,150.6
,-34.473816,150.84584
AUSTRALIA,-34.9,150.5
,-34.660233,150.21709
,-34.478745,150.8304
,-34.476433,150.85248
,-34.076725,151.05539
,-34.09317,151.0028
,-34.075745,151.0537
,-34.022243,151.19777
,-34.072464,151.05905
,-34.07616,151.05331
,-34.011818,151.0523
,-34.041862,151.02283
,-34.071205,151.05797
,-34.08373,151.14087
,-34.072475,151.05919
,-34.075554,151.0536
,-34.064117,151.05582
,-34.074074,151.05585
,-34.04042,151.16017
,-34.075546,151.05429
,-34.00414,151.07417
,-34.030186,151.16191
,-34.03676,151.08427
,-34.05751,151.048
,-34.07709,151.05508
,-34.076885,151.10184
,-34.017212,151.2046
,-34.026924,151.20958
,-34.0,115.0
,-33.6,115.8
AUSTRALIA,-33.06,115.88
AUSTRALIA,-33.58,115.81
AUSTRALIA,-33.06,115.9
AUSTRALIA,-33.4,115.75
,-33.4,115.8
,-33.4,116.0
,-33.4,116.2
,-33.8,116.0
,-33.210934,149.66504
,-33.71376,150.38063
AUSTRALIA,-33.7,150.6
,-33.973675,150.99475
,-33.499115,150.13838
AUSTRALIA,-33.7,150.6
,-33.722477,150.29276
,-33.499115,150.13838
,-33.786724,150.80612
,-33.873096,150.81337
,-33.985764,150.90533
,-33.713478,150.37292
,-33.49363,150.51033
,-33.688374,150.88611
,-33.751404,150.86467
,-33.524746,150.6257
,-33.73423,150.91478
,-33.83905,150.94661
,-33.9467,150.93504
,-33.73522,150.79256
,-33.9541,150.86946
,-33.93301,150.86719
,-33.925278,150.89996
,-33.808952,150.91913
,-33.84067,150.64401
,-33.839973,150.65236
,-33.787315,150.80637
,-33.814068,150.90866
,-33.729446,150.98024
,-33.720734,150.58006
,-33.89803,150.86226
,-33.71749,150.56862
,-33.958675,150.88638
,-33.391235,150.98402
,-33.803642,150.90382
AUSTRALIA,-33.9,150.9
,-33.969425,150.89377
,-33.776634,150.826
,-33.69101,150.93147
,-33.974537,150.99576
,-33.79557,150.69882
,-33.584152,150.93765
,-33.871635,150.82909
,-33.73008,150.40962
,-33.89803,150.86226
,-33.619225,150.29982
,-33.721848,150.33635
,-33.933407,150.85887
,-33.728092,150.39955
,-33.303146,150.97006
,-33.84231,150.85738
AUSTRALIA,-33.4,150.7
,-33.721222,150.38046
,-33.779297,150.90749
,-33.702824,150.9531
,-33.727074,150.44064
,-33.701733,150.56961
,-33.935253,150.8665
,-33.947617,150.95212
,-33.623405,150.83643
,-33.696934,150.57784
AUSTRALIA,-33.9,150.9
,-33.7114,150.97015
,-33.575787,150.62593
,-33.769276,150.63518
,-33.713768,150.37926
,-33.912125,150.98703
,-33.71592,150.9819
AUSTRALIA,-33.7,150.6
,-33.891933,150.60791
,-33.72215,150.44225
,-33.932182,150.96198
,-33.91138,150.94746
,-33.696934,150.57784
,-33.749382,150.62805
AUSTRALIA,-33.5,150.4
AUSTRALIA,-33.7,150.6
,-33.740215,150.47679
,-33.57096,150.68541
,-33.38041,150.07523
,-33.719536,150.38133
AUSTRALIA,-33.7,150.6
,-33.582813,150.69733
,-33.96814,150.91238
,-33.756313,150.76659
,-33.785923,150.80424
,-33.779316,150.96024
,-33.775738,150.7312
,-33.701916,150.3803
,-33.80809,150.65381
,-33.498486,150.51338
,-33.663074,150.92712
,-33.712223,150.93614
,-33.58092,150.68628
,-33.527054,150.85262
,-33.691986,150.94525
AUSTRALIA,-34.0,150.8
,-33.718155,150.38087
,-33.74574,150.63042
,-33.959347,150.82144
,-33.72919,150.3894
,-33.905483,150.94144
,-33.58443,150.24301
,-33.567226,150.6785
,-33.49363,150.51033
,-33.700787,150.3738
,-33.305347,151.40356
,-33.929203,151.13792
,-33.651943,151.28316
,-33.275784,151.41081
,-33.387383,151.36574
,-33.844204,151.17072
,-33.765835,151.00612
,-33.773746,151.25052
AUSTRALIA,-33.76,151.03
,-33.438686,151.38525
,-33.81083,151.29565
,-33.400406,151.33853
,-33.275852,151.41618
,-33.464233,151.41049
,-33.096188,151.47298
,-33.24336,151.48653
,-33.7478,151.11609
AUSTRALIA,-33.1866,151.4919
,-33.635258,151.31583
,-33.68781,151.26842
,-33.79926,151.09067
,-33.68345,151.21674
,-33.255768,151.47661
,-33.258133,151.3291
,-33.348663,151.30257
,-33.774174,151.25395
,-33.87921,151.04294
,-33.759365,151.23471
,-33.629997,151.03
,-33.33504,151.43234
,-33.75009,151.03185
,-33.76995,151.24748
,-33.22515,151.5059
,-33.734333,151.1238
,-33.71737,151.13133
,-33.615593,151.32796
,-33.403946,151.42618
AUSTRALIA,-33.9,151.2
,-33.76338,151.02893
,-33.753593,151.00986
,-33.68915,151.23604
,-33.31902,151.29811
,-33.269146,151.45656
,-33.752228,151.03018
,-33.687492,151.2145
,-33.7625,151.24222
,-33.88197,151.06007
,-33.636654,151.03027
,-33.73699,151.17705
,-33.763706,151.24478
,-33.38349,151.37123
,-33.8084,151.12827
,-33.775177,151.24217
,-33.433037,151.36708
,-33.495182,151.38329
,-33.67077,151.18729
,-33.346504,151.3703
,-33.403946,151.42618
,-33.981808,151.24484
,-33.737553,151.1541
,-33.636654,151.03027
,-33.734463,151.22
,-33.691765,151.11504
,-33.65903,151.11964
,-33.68781,151.26842
,-33.43002,151.34348
,-33.325386,151.41846
,-33.761005,151.01599
,-33.424484,151.36832
,-33.359264,151.372
,-33.68748,151.23494
,-33.718613,151.12523
,-33.673878,151.10585
,-33.435005,151.34554
,-33.774937,151.24097
,-33.63525,151.31529
AUSTRALIA,-33.7,151.1
,-33.75089,151.10483
,-33.541718,151.23634
,-33.68752,151.26714
,-33.684258,151.27254
,-33.778473,151.25388
,-33.800804,151.17407
,-33.360924,151.3695
,-33.751442,151.29208
,-33.75402,151.00876
,-33.7793,151.25435
,-33.772083,151.23685
,-33.40582,151.40958
,-33.635258,151.31583
AUSTRALIA,-33.3,151.4
,-33.429306,151.42738
,-33.76376,151.09846
,-33.659676,151.03331
,-33.256817,151.48093
,-33.750267,151.16676
,-33.90832,151.2391
,-33.929237,151.14688
,-33.387985,151.37007
,-33.711235,151.09575
,-33.769222,151.24683
,-33.751377,151.00992
,-33.763977,151.10095
,-33.736755,151.15665
,-33.622868,151.14948
,-33.01467,151.67993
,-33.934177,151.24992
,-33.759132,151.26857
,-33.80841,151.1893
,-33.260876,151.48085
,-33.367577,151.3957
,-33.70562,151.28479
,-33.763042,151.02551
,-33.37721,151.37349
,-33.123173,151.46716
,-33.252945,151.32692
,-33.38819,151.38274
,-33.379402,151.40355
,-33.795303,151.12672
,-33.737633,151.22101
,-33.777184,151.25381
